wynikitop$name
deeplearning_88-SMOTE-1662049471
deeplearning_272-SMOTE-1662051153
deeplearning_186-SMOTE-1662050295
deeplearning_79-SMOTE-1662049401
deeplearning_284-SMOTE-1662051255
deeplearning_54-SMOTE-1662049235
deeplearning_229-SMOTE-1662050616
deeplearning_171-SMOTE-1662050157
deeplearning_173-SMOTE-1662050179
deeplearning_10-SMOTE-1662048834
deeplearning_75-SMOTE-1662049353
deeplearning_166-SMOTE-1662050127
deeplearning_202-SMOTE-1662050378
deeplearning_39-SMOTE-1662049088
deeplearning_243-SMOTE-1662050790
deeplearning_264-SMOTE-1662051119
deeplearning_60-SMOTE-1662049254
deeplearning_256-SMOTE-1662050956
deeplearning_200-SMOTE-1662050373
deeplearning_84-SMOTE-1662049449
deeplearning_116-SMOTE-1662049679
deeplearning_9-SMOTE-1662048834
deeplearning_197-SMOTE-1662050364
deeplearning_295-SMOTE-1662051407
deeplearning_277-SMOTE-1662051219
deeplearning_92-SMOTE-1662049505
deeplearning_708-SMOTE-1662056693
deeplearning_89-SMOTE-1662049472
deeplearning_106-SMOTE-1662049627
deeplearning_282-SMOTE-1662051241
deeplearning_87-SMOTE-1662049469
deeplearning_46-SMOTE-1662049133
deeplearning_64-SMOTE-1662049284
deeplearning_144-SMOTE-1662049919
deeplearning_145-SMOTE-1662049920
deeplearning_30-SMOTE-1662049023
deeplearning_286-SMOTE-1662051277
deeplearning_24-SMOTE-1662049005
deeplearning_269-SMOTE-1662051135
deeplearning_68-SMOTE-1662049307
deeplearning_143-SMOTE-1662049918
deeplearning_113-SMOTE-1662049664
deeplearning_316-SMOTE-1662051622
deeplearning_96-SMOTE-1662049526
deeplearning_114-SMOTE-1662049669
deeplearning_246-SMOTE-1662050808
deeplearning_190-SMOTE-1662050319
deeplearning_251-SMOTE-1662050956
deeplearning_167-SMOTE-1662050135
deeplearning_159-SMOTE-1662050085
deeplearning_91-SMOTE-1662049479
deeplearning_165-SMOTE-1662050119
deeplearning_201-SMOTE-1662050374
deeplearning_130-SMOTE-1662049828
deeplearning_111-SMOTE-1662049654
deeplearning_8-SMOTE-1662048834
deeplearning_105-SMOTE-1662049622
deeplearning_262-SMOTE-1662051091
deeplearning_45-SMOTE-1662049125
deeplearning_85-SMOTE-1662049454
deeplearning_281-SMOTE-1662051240
deeplearning_161-SMOTE-1662050101
deeplearning_82-SMOTE-1662049438
deeplearning_238-SMOTE-1662050762
deeplearning_260-SMOTE-1662050956
deeplearning_206-SMOTE-1662050396
deeplearning_139-SMOTE-1662049890
deeplearning_215-SMOTE-1662050503
deeplearning_170-SMOTE-1662050154
deeplearning_267-SMOTE-1662051128
deeplearning_192-SMOTE-1662050326
deeplearning_242-SMOTE-1662050785
deeplearning_204-SMOTE-1662050385
deeplearning_266-SMOTE-1662051125
deeplearning_78-SMOTE-1662049398
deeplearning_220-SMOTE-1662050536
deeplearning_831-SMOTE-1662066913
deeplearning_40-SMOTE-1662049092
deeplearning_81-SMOTE-1662049434
deeplearning_239-SMOTE-1662050762
deeplearning_38-SMOTE-1662049075
deeplearning_211-SMOTE-1662050437
deeplearning_231-SMOTE-1662050640
deeplearning_287-SMOTE-1662051292
deeplearning_150-SMOTE-1662049960
deeplearning_100-SMOTE-1662049566
deeplearning_207-SMOTE-1662050413
deeplearning_20-SMOTE-1662048913
deeplearning_53-SMOTE-1662049232
deeplearning_107-SMOTE-1662049629
deeplearning_221-SMOTE-1662050541
deeplearning_69-SMOTE-1662049310
deeplearning_141-SMOTE-1662049908
deeplearning_36-SMOTE-1662049073
deeplearning_234-SMOTE-1662050659
deeplearning_315-SMOTE-1662051603
deeplearning_131-SMOTE-1662049843
deeplearning_250-SMOTE-1662050820
deeplearning_274-SMOTE-1662051161
deeplearning_29-SMOTE-1662049020
deeplearning_136-SMOTE-1662049867
deeplearning_115-SMOTE-1662049678
deeplearning_42-SMOTE-1662049114
deeplearning_172-SMOTE-1662050174
deeplearning_102-SMOTE-1662049577
deeplearning_183-SMOTE-1662050275
deeplearning_31-SMOTE-1662049029
deeplearning_273-SMOTE-1662051156
deeplearning_182-SMOTE-1662050250
deeplearning_13-SMOTE-1662048879
deeplearning_94-SMOTE-1662049512
deeplearning_67-SMOTE-1662049295
deeplearning_33-SMOTE-1662049063
deeplearning_3-SMOTE-1662048834
deeplearning_271-SMOTE-1662051150
deeplearning_320-SMOTE-1662051706
deeplearning_146-SMOTE-1662049930
deeplearning_174-SMOTE-1662050180
deeplearning_32-SMOTE-1662049033
deeplearning_133-SMOTE-1662049859
deeplearning_162-SMOTE-1662050110
deeplearning_195-SMOTE-1662050344
deeplearning_252-SMOTE-1662050955
deeplearning_41-SMOTE-1662049114
deeplearning_158-SMOTE-1662050080
deeplearning_289-SMOTE-1662051301
deeplearning_196-SMOTE-1662050358
deeplearning_12-SMOTE-1662048878
deeplearning_6-SMOTE-1662048834
deeplearning_249-SMOTE-1662050818
deeplearning_93-SMOTE-1662049511
deeplearning_254-SMOTE-1662050955
deeplearning_210-SMOTE-1662050436
deeplearning_304-SMOTE-1662051491
deeplearning_103-SMOTE-1662049592
deeplearning_209-SMOTE-1662050420
deeplearning_155-SMOTE-1662049995
deeplearning_311-SMOTE-1662051566
deeplearning_73-SMOTE-1662049322
deeplearning_259-SMOTE-1662050956
deeplearning_72-SMOTE-1662049322
deeplearning_63-SMOTE-1662049279
deeplearning_58-SMOTE-1662049246
deeplearning_193-SMOTE-1662050328
deeplearning_74-SMOTE-1662049332
deeplearning_156-SMOTE-1662050020
deeplearning_253-SMOTE-1662050956
deeplearning_157-SMOTE-1662050025
deeplearning_321-SMOTE-1662051717
deeplearning_112-SMOTE-1662049658
deeplearning_265-SMOTE-1662051119
deeplearning_313-SMOTE-1662051587
deeplearning_98-SMOTE-1662049530
deeplearning_283-SMOTE-1662051247
deeplearning_128-SMOTE-1662049751
deeplearning_248-SMOTE-1662050816
deeplearning_651-SMOTE-1662054994
deeplearning_203-SMOTE-1662050385
deeplearning_121-SMOTE-1662049704
deeplearning_27-SMOTE-1662049018
deeplearning_16-SMOTE-1662048887
deeplearning_125-SMOTE-1662049735
deeplearning_50-SMOTE-1662049198
deeplearning_223-SMOTE-1662050548
deeplearning_137-SMOTE-1662049873
deeplearning_191-SMOTE-1662050324
deeplearning_227-SMOTE-1662050609
deeplearning_119-SMOTE-1662049701
deeplearning_225-SMOTE-1662050574
deeplearning_47-SMOTE-1662049146
deeplearning_56-SMOTE-1662049241
deeplearning_1694-SMOTE-1662080931
deeplearning_1704-SMOTE-1662081117
deeplearning_288-SMOTE-1662051301
deeplearning_99-SMOTE-1662049536
deeplearning_725-SMOTE-1662057291
deeplearning_806-SMOTE-1662066489
deeplearning_1728-SMOTE-1662081615
deeplearning_244-SMOTE-1662050797
deeplearning_194-SMOTE-1662050332
deeplearning_44-SMOTE-1662049124
deeplearning_323-SMOTE-1662051732
deeplearning_176-SMOTE-1662050184
deeplearning_270-SMOTE-1662051136
deeplearning_241-SMOTE-1662050785
