layer1,layer2,layer3,activation_function_layer1,activation_function_layer2,activation_function_layer3,dropout_layer1,dropout_layer2,dropout_layer3,layer1_regularizer,layer2_regularizer,layer3_regularizer,optimizer,autoencoder,balanced,formula,scaled,model_id,training_AUC,cutoff,training_AUC2,training_AUC_lower95CI,training_AUC_upper95CI,training_Accuracy,training_Sensitivity,training_Specificity,training_PPV,training_NPV,training_F1,test_Accuracy,test_Sensitivity,test_Specificity,test_PPV,test_NPV,test_F1,valid_Accuracy,valid_Sensitivity,valid_Specificity,valid_PPV,valid_NPV,valid_F1,name,worth_saving,training_time,metaindex,metaindex2
4,0,0,selu,relu,relu,0,0,0,FALSE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,75-SMOTE-1662049353,0.9187093742658,0.541341215372086,0.9187093742658,0.895058592828621,0.942360155702979,0.842920353982301,0.805309734513274,0.880530973451327,0.870813397129187,0.818930041152263,0.836781609195402,0.861538461538462,0.853333333333333,0.872727272727273,0.901408450704225,0.813559322033898,0.876712328767123,0.871212121212121,0.877551020408163,0.867469879518072,0.796296296296296,0.923076923076923,0.83495145631068,deeplearning_75-SMOTE-1662049353,TRUE,1.40890832742055,0.858395604910762,0.858556978910962
5,0,0,relu,relu,relu,0,0,0,FALSE,FALSE,FALSE,rmsprop,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,166-SMOTE-1662050127,0.937808364006578,0.396570265293121,0.937808364006578,0.916643512961619,0.958973215051538,0.880530973451327,0.876106194690266,0.88495575221239,0.883928571428572,0.87719298245614,0.88,0.869230769230769,0.893333333333333,0.836363636363636,0.881578947368421,0.851851851851852,0.887417218543046,0.825757575757576,0.836734693877551,0.819277108433735,0.732142857142857,0.894736842105263,0.780952380952381,deeplearning_166-SMOTE-1662050127,TRUE,52.5949666500092,0.857846280272094,0.858506439479891
5,0,0,sigmoid,relu,relu,0.1,0,0,FALSE,FALSE,FALSE,rmsprop,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,202-SMOTE-1662050378,0.904240739290469,0.611910104751587,0.904240739290469,0.87611680712367,0.932364671457269,0.847345132743363,0.805309734513274,0.889380530973451,0.879227053140097,0.820408163265306,0.840646651270208,0.869230769230769,0.866666666666667,0.872727272727273,0.902777777777778,0.827586206896552,0.884353741496599,0.856060606060606,0.857142857142857,0.855421686746988,0.777777777777778,0.91025641025641,0.815533980582524,deeplearning_202-SMOTE-1662050378,TRUE,42.7278220653534,0.857451361096802,0.857545502678246
4,0,0,sigmoid,relu,relu,0.1,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,39-SMOTE-1662049088,0.920256088965463,0.480306148529053,0.920256088965463,0.895400609971972,0.945111567958954,0.853982300884956,0.836283185840708,0.871681415929204,0.86697247706422,0.841880341880342,0.851351351351351,0.861538461538462,0.866666666666667,0.854545454545455,0.89041095890411,0.824561403508772,0.878378378378378,0.856060606060606,0.918367346938776,0.819277108433735,0.75,0.944444444444444,0.825688073394496,deeplearning_39-SMOTE-1662049088,TRUE,1.83318652311961,0.857181960658989,0.857193789494675
10,0,0,selu,relu,relu,0,0,0,TRUE,FALSE,FALSE,sgd,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,243-SMOTE-1662050790,0.922840473020597,0.50351482629776,0.922840473020597,0.899459274296903,0.94622167174429,0.853982300884956,0.836283185840708,0.871681415929204,0.86697247706422,0.841880341880342,0.851351351351351,0.861538461538462,0.866666666666667,0.854545454545455,0.89041095890411,0.824561403508772,0.878378378378378,0.856060606060606,0.897959183673469,0.831325301204819,0.758620689655173,0.932432432432432,0.822429906542056,deeplearning_243-SMOTE-1662050790,TRUE,1.78687918583552,0.857181960658989,0.857193789494675
4,0,0,selu,relu,relu,0.1,0,0,TRUE,FALSE,FALSE,sgd,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,264-SMOTE-1662051119,0.898739133839768,0.633867859840393,0.898739133839768,0.869500633503253,0.927977634176284,0.831858407079646,0.79646017699115,0.867256637168142,0.857142857142857,0.809917355371901,0.825688073394496,0.869230769230769,0.866666666666667,0.872727272727273,0.902777777777778,0.827586206896552,0.884353741496599,0.871212121212121,0.877551020408163,0.867469879518072,0.796296296296296,0.923076923076923,0.83495145631068,deeplearning_264-SMOTE-1662051119,TRUE,34.5756061077118,0.857045833577925,0.857433765840845
7,0,0,relu,relu,relu,0,0,0,FALSE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,60-SMOTE-1662049254,0.92497454773279,0.514376759529114,0.92497454773279,0.90152797221631,0.948421123249271,0.853982300884956,0.823008849557522,0.88495575221239,0.877358490566038,0.833333333333333,0.849315068493151,0.876923076923077,0.88,0.872727272727273,0.904109589041096,0.842105263157895,0.891891891891892,0.840909090909091,0.836734693877551,0.843373493975904,0.759259259259259,0.897435897435898,0.796116504854369,deeplearning_60-SMOTE-1662049254,TRUE,33.0272951126099,0.857014421939821,0.857271489572375
5,0,0,sigmoid,relu,relu,0.1,0,0,TRUE,FALSE,FALSE,sgd,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,256-SMOTE-1662050956,0.904084109953794,0.650813281536102,0.904084109953794,0.876285630207673,0.931882589699915,0.838495575221239,0.79646017699115,0.880530973451327,0.869565217391305,0.812244897959184,0.831408775981524,0.869230769230769,0.866666666666667,0.872727272727273,0.902777777777778,0.827586206896552,0.884353741496599,0.863636363636364,0.836734693877551,0.879518072289157,0.803921568627451,0.901234567901235,0.82,deeplearning_256-SMOTE-1662050956,TRUE,3.0038649002711,0.856910425840223,0.857120902696124
3,0,0,sigmoid,relu,relu,0.1,0,0,FALSE,FALSE,FALSE,rmsprop,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,200-SMOTE-1662050373,0.904416947294228,0.611095428466797,0.904416947294228,0.876249650890272,0.932584243698185,0.838495575221239,0.787610619469027,0.889380530973451,0.876847290640394,0.807228915662651,0.82983682983683,0.861538461538462,0.853333333333333,0.872727272727273,0.901408450704225,0.813559322033898,0.876712328767123,0.871212121212121,0.857142857142857,0.879518072289157,0.807692307692308,0.9125,0.831683168316832,deeplearning_200-SMOTE-1662050373,TRUE,1.49181153774261,0.856860702736993,0.857082052657274
4,0,0,relu,relu,relu,0.1,0,0,FALSE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,84-SMOTE-1662049449,0.930574046518913,0.39055460691452,0.930574046518913,0.908894252297989,0.952253840739837,0.853982300884956,0.845132743362832,0.86283185840708,0.86036036036036,0.847826086956522,0.852678571428571,0.884615384615385,0.893333333333333,0.872727272727273,0.905405405405405,0.857142857142857,0.899328859060403,0.833333333333333,0.897959183673469,0.795180722891566,0.721311475409836,0.929577464788732,0.8,deeplearning_84-SMOTE-1662049449,TRUE,1.35269438028336,0.856795429394961,0.857310339611225
9,0,0,relu,relu,relu,0,0,0,TRUE,FALSE,FALSE,rmsprop,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,116-SMOTE-1662049679,0.960372777821286,0.609507441520691,0.960372777821286,0.945268404949593,0.975477150692979,0.893805309734513,0.849557522123894,0.938053097345133,0.932038834951456,0.861788617886179,0.888888888888889,0.861538461538462,0.84,0.890909090909091,0.913043478260869,0.80327868852459,0.875,0.818181818181818,0.816326530612245,0.819277108433735,0.727272727272727,0.883116883116883,0.769230769230769,deeplearning_116-SMOTE-1662049679,TRUE,55.9533407688141,0.856714893998979,0.857841863151598
10,0,0,relu,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,9-SMOTE-1662048834,0.938425092019735,0.55289614200592,0.938425092019735,0.918329390130963,0.958520793908508,0.867256637168142,0.84070796460177,0.893805309734513,0.88785046728972,0.848739495798319,0.863636363636364,0.869230769230769,0.853333333333333,0.890909090909091,0.914285714285714,0.816666666666667,0.882758620689655,0.833333333333333,0.897959183673469,0.795180722891566,0.721311475409836,0.929577464788732,0.8,deeplearning_9-SMOTE-1662048834,TRUE,43.6013600826263,0.856285665682075,0.856606913244081
9,0,0,relu,relu,relu,0.1,0,0,FALSE,FALSE,FALSE,rmsprop,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,197-SMOTE-1662050364,0.947274649541859,0.359016209840775,0.947274649541859,0.929203873777738,0.96534542530598,0.876106194690266,0.880530973451327,0.871681415929204,0.87280701754386,0.879464285714286,0.876651982378855,0.876923076923077,0.893333333333333,0.854545454545455,0.893333333333333,0.854545454545455,0.893333333333333,0.818181818181818,0.897959183673469,0.771084337349398,0.698412698412698,0.927536231884058,0.785714285714286,deeplearning_197-SMOTE-1662050364,TRUE,49.411913394928,0.856167501137916,0.857070363265054
8,0,0,selu,relu,relu,0,0,0,FALSE,FALSE,FALSE,sgd,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,295-SMOTE-1662051407,0.926305897094526,0.559254229068756,0.926305897094526,0.903579523267514,0.949032270921538,0.858407079646018,0.81858407079646,0.898230088495575,0.889423076923077,0.831967213114754,0.852534562211982,0.861538461538462,0.84,0.890909090909091,0.913043478260869,0.80327868852459,0.875,0.848484848484848,0.857142857142857,0.843373493975904,0.763636363636364,0.909090909090909,0.807692307692308,deeplearning_295-SMOTE-1662051407,TRUE,2.03876993258794,0.856107171000788,0.856143463223109
8,0,0,relu,relu,relu,0,0,0,FALSE,FALSE,FALSE,sgd,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,277-SMOTE-1662051219,0.935272926619156,0.70531564950943,0.935272926619156,0.914288675278162,0.95625717796015,0.858407079646018,0.783185840707965,0.933628318584071,0.921875,0.811538461538462,0.84688995215311,0.876923076923077,0.826666666666667,0.945454545454546,0.953846153846154,0.8,0.885714285714286,0.833333333333333,0.795918367346939,0.855421686746988,0.764705882352941,0.876543209876543,0.78,deeplearning_277-SMOTE-1662051219,TRUE,1.21630390882492,0.855847023858664,0.856221163300809
