miR,mean deltact,median deltact,SD deltact,Case mean,Case median,Case SD,Control mean,Control median,Control SD,FC,log10FC,log2FC,reversed_log10FC,reversed_log2FC,p-value,p-value Bonferroni,p-value Holm,p-value BH
hsa.miR.20b.5p,8.29537581175959,8.345593619,1.24139996459522,7.77368381065487,7.8302357465,1.08939804966929,9.00993576478788,9.044673054,1.07134068734732,0.424473986062466,-0.372148920392249,-1.23625195413301,-0.372148920392249,-1.23625195413301,4.09353404085011e-25,7.77771467761521e-24,7.77771467761521e-24,7.77771467761521e-24
hsa.miR.19b.3p,9.93441007632992,9.91258537,0.935561732174788,9.55147475717257,9.6234113595,0.830048738392433,10.4589154225697,10.53335824,0.810765430828097,0.533130023122473,-0.273166859569818,-0.907440665397131,-0.273166859569818,-0.907440665397131,8.4276255938565e-24,1.60124886283274e-22,1.51697260689417e-22,8.00624431416368e-23
hsa.let.7b.5p,15.1235133524297,15.10890587,0.591472904815198,14.886594489469,14.865782835,0.526687291048704,15.4480204010909,15.44095421,0.517745988307324,0.677632083703553,-0.169006039741182,-0.561425911621884,-0.169006039741182,-0.561425911621884,1.0658031194388e-22,2.02502592693371e-21,1.81186530304595e-21,6.75008642311238e-22
hsa.miR.320b,9.32633282880307,9.31833649,0.88964247148118,9.63526881198672,9.6133514455,0.817039153325829,8.90318414880606,8.847793861,0.809085695873315,1.66103752172232,0.220379442982943,0.732084663180665,0.220379442982943,0.732084663180665,6.05383464131317e-17,1.1502285818495e-15,9.68613542610107e-16,2.87557145462375e-16
hsa.miR.30d.5p,12.2362121035422,12.18754447,0.630206277819528,12.020661882677,11.97018589,0.570989780793571,12.5314505878788,12.48223047,0.587746018020956,0.701838645653302,-0.153762721712108,-0.510788705201797,-0.153762721712108,-0.510788705201797,2.98552043707652e-16,5.67248883044539e-15,4.47828065561478e-15,1.13449776608908e-15
hsa.miR.17.5p,7.99669165075703,7.994601247,0.949620613801919,7.68727552017257,7.793072086,0.893849074416716,8.42049798719394,8.377863752,0.857725754802561,0.601558744052102,-0.220721956068178,-0.733222467021374,-0.220721956068178,-0.733222467021374,4.22029415546722e-15,8.01855889538771e-14,5.9084118176541e-14,1.33642648256462e-14
hsa.miR.139.3p,7.64863930384399,7.768263512,0.937065033415484,7.95165105369912,8.097742135,0.87160755941832,7.23360502828485,7.355365157,0.863736700958454,1.64495261450133,0.216153391916996,0.718046025414267,0.216153391916996,0.718046025414267,9.71661268676757e-15,1.84615641048584e-13,1.26315964927978e-13,2.63736630069405e-14
hsa.miR.182.5p,9.13943138496675,9.089821212,0.936892056765993,8.84819925049115,8.83673135,0.875109906391989,9.53833115703636,9.53571814,0.871628343180893,0.619797178919915,-0.207750404834881,-0.690131906545213,-0.207750404834881,-0.690131906545213,1.20566741120709e-13,2.29076808129348e-12,1.44680089344851e-12,2.86346010161684e-13
hsa.miR.106b.5p,4.49574241780051,4.631503223,1.66093894955127,4.05611315082301,4.4033444895,1.67780340785991,5.0979012925697,4.981178176,1.43775635643565,0.485725070750932,-0.313609479792792,-1.04178814174669,-0.313609479792792,-1.04178814174669,1.46636309900343e-10,2.78608988810652e-09,1.61299940890378e-09,3.09565543122947e-10
hsa.miR.375.3p,7.89871718234783,7.986691055,1.75121048768712,8.35296310624779,8.481799943,1.64620560797375,7.27653791688485,7.502678611,1.70325034906923,2.10880425928384,0.324036270086526,1.07642518936294,0.324036270086526,1.07642518936294,1.14190400357049e-09,2.16961760678394e-08,1.14190400357049e-08,2.16961760678394e-09
hsa.miR.421,6.03100880763939,6.124502289,0.858357395373627,5.82700205871681,5.888972651,0.785198843730066,6.31043623343636,6.367293277,0.877681713166617,0.715272968375739,-0.145528187519646,-0.48343417471955,-0.145528187519646,-0.48343417471955,4.0465880488575e-08,7.68851729282926e-07,3.64192924397175e-07,6.98956117529933e-08
hsa.miR.134.5p,7.28332722765217,7.369482654,1.67952090245454,7.65972787605752,7.7618001685,1.62180559678561,6.76777240013939,6.988569767,1.62380480341671,1.85568968224297,0.268505353048099,0.891955475918128,0.268505353048099,0.891955475918128,1.45144124571653e-07,2.75773836686142e-06,1.16115299657323e-06,2.29811530571785e-07
hsa.miR.4433a.3p,7.64994645287212,7.828994433,1.61305853549958,7.95144295759292,8.2230277465,1.59372843074193,7.23698760398182,7.400224056,1.55113752173156,1.64086364165653,0.215072491999658,0.714455353611102,0.215072491999658,0.714455353611102,1.16680945616824e-05,0.000221693796671966,8.1676661931777e-05,1.58352711908547e-05
hsa.miR.4433b.5p,7.64994645287212,7.828994433,1.61305853549958,7.95144295759292,8.2230277465,1.59372843074193,7.23698760398182,7.400224056,1.55113752173156,1.64086364165653,0.215072491999658,0.714455353611102,0.215072491999658,0.714455353611102,1.16680945616824e-05,0.000221693796671966,8.1676661931777e-05,1.58352711908547e-05
hsa.miR.500a.3p,4.39211153013299,4.660564221,1.61302283473741,4.13920739479204,4.3285217775,1.62199183983649,4.73851355793333,5.051093858,1.53916661011899,0.660071327868144,-0.180409131691822,-0.599306163141298,-0.180409131691822,-0.599306163141298,0.000233504365019211,0.004436582935365,0.00116752182509605,0.000295772195691
hsa.miR.485.3p,7.84375775529923,8.11508186,1.8395080487027,8.12680530338938,8.5149228275,1.83310404722687,7.4560683864,7.817405774,1.78187178185978,1.59188588234474,0.201911931212985,0.67073691698938,0.201911931212985,0.67073691698938,0.000322593238814406,0.00612927153747371,0.00129037295525762,0.000383079471092107
hsa.miR.1304.3p,3.94255685469309,3.982787381,1.58585117951332,4.17562243673894,4.424028151,1.58597100775655,3.62332763322424,3.806150093,1.5337384816603,1.46641637736101,0.166257302307268,0.552294803514696,0.166257302307268,0.552294803514696,0.00059135183124249,0.0112356847936073,0.00177405549372747,0.000660922634918077
hsa.miR.1273h.3p,4.3391092857468,4.479648163,1.74004382742648,4.5773230930885,4.8311190625,1.74742542141589,4.01282855569091,4.22154195,1.68094896208153,1.4788692818624,0.169929788145137,0.564494537397587,0.169929788145137,0.564494537397587,0.00137413373048003,0.0261085408791206,0.00274826746096006,0.00145047449328448
hsa.miR.493.5p,3.45936305121483,4.042664476,2.34617241542723,3.75611605054867,4.3304169325,2.34011289213492,3.05290136727879,3.412899205,2.29988593544759,1.62812862922049,0.211688713055581,0.703214683269885,0.211688713055581,0.703214683269885,0.00324048014594773,0.061569122773007,0.00324048014594773,0.00324048014594773
